Year,t,AreaPlanted,Cycle1,Cycle2,Cycle3,Cycle4,TotalRemovals,NetRemovals,RemovalRate
2024,0,1808,204209.93223653056,0,0,0,204209.93223653056,102104.96611826526,NA
2025,1,1417,209029.4470185924,163824.51682817776,0,0,372853.9638467701,186426.98192338512,84322.01580511985
2026,2,1530,213810.89377105513,167571.92282831031,176888.8572668398,0,558271.6738662053,279135.8369331026,92708.85500971746
2027,3,2234,218553.4873552441,171288.87808760005,180935.1036890013,258280.8543360262,829058.3234678718,414529.1617339359,135393.3248008333
2028,4,0,223256.51448427464,174974.82357534135,184948.4710473028,264188.9030334829,847368.7121404016,423684.3560702009,9155.194336265035
2029,5,0,227919.32944145825,178629.25321822256,188928.35573060848,270048.9439997872,865525.8823900765,432762.9411950383,9078.58512483741
2030,6,0,232541.3500786575,182251.7107640806,192874.21130831368,275860.0958837774,883527.3680348292,441763.6840174146,9000.742822376254
2031,7,0,237122.0540720308,185841.78684738252,196785.5451439967,281621.5608253417,901370.9468887516,450685.47344437585,8921.789426961273
2032,8,0,241660.97541485887,189399.11624051712,200661.91522688445,287332.61951090756,919054.626393168,459527.313196584,8841.83975220815
2033,9,0,246157.70112912476,192923.37527653194,204502.92720394582,292992.62654696725,936576.6301565699,468288.31507828494,8761.00188170094
2034,10,0,250611.86817927298,196414.27943032622,208308.23159710225,298601.00612654566,953935.385333247,476967.6926666234,8679.377588338451
2035,11,0,255023.16057311863,199871.5810465205,212077.52119153074,304157.24796596495,971129.5107771348,485564.7553885673,8597.06272194389
2036,12,0,259391.30663626097,203295.06720330857,215810.52858234046,309660.9034914247,988157.8059133347,494078.9029566675,8514.14756810019
2037,13,0,263716.07644757396,206684.55770255104,219507.02386807487,315111.5822568291,1005019.2402750289,502509.62013751443,8430.717180846957
2038,14,0,267997.2794244468,210039.90317723516,223166.81248052442,320508.94857599953,1021712.9436582059,510856.47182910296,8346.851691588527
2039,15,0,272234.76204742206,213360.9833081842,226789.73314126304,325852.718353916,1038238.1968507853,519119.09842539276,8262.626596289803
2040,16,0,276428.40571475547,216647.70514259321,230375.6559361481,331142.6561029945,1054594.4228964914,527297.2114482456,8178.113022852805
2041,17,0,280578.1247182118,219900.00150758086,233924.4804997654,336378.5721316045,1070781.1788571626,535390.5894285813,8093.377980335732
2042,18,0,284683.8643321183,223117.82951250646,237436.1343024691,341560.3198931215,1086798.1480402155,543399.0740201077,8008.484591526445
2043,19,0,288745.59900833684,226301.16913429936,240910.57103326384,346687.7934847817,1102645.1326606816,551322.5663303407,7923.4923102329485
2044,20,0,292763.3306703949,229450.02188050305,244347.76907232043,351760.9252864781,1118322.0469096964,559161.0234548481,7838.457124507404
2045,21,0,296737.08710053883,232564.40952514578,247747.7300474027,356779.68373043387,1133828.9104035213,566914.4552017607,7753.4317469126545
2046,22,0,300666.92041394586,235644.3729129211,251110.47746892946,361744.0711933971,1149165.8419891936,574582.9209945968,7668.465792836039
2047,23,0,304552.9056147637,238689.97082750007,254436.05543879268,366654.12200365256,1164333.053884709,582166.5269423546,7583.605947757838
2048,24,0,308395.13922904053,241701.27892010528,257724.52742842282,371509.90055572736,1179330.846133296,589665.423066648,7498.896124293329
2049,25,0,312193.7380099632,244678.3886947554,260975.97512192035,376311.49952620687,1194159.6013528458,597079.8006764229,7414.377609774936
2050,26,0,315948.8377111504,247621.40654684743,264190.49732037814,381059.03818455554,1208819.7797629314,604409.8898814658,7330.089205042925
2051,27,0,319660.59192404506,250530.45285197557,267368.2089037943,385752.6607932841,1223311.914473099,611655.9572365494,7246.0673550835345
2052,28,0,323329.1709757237,253405.66110210205,270509.23984722834,390392.53509220685,1237636.607017261,618818.3035086305,7162.346272081137
2053,29,0,326954.76088369556,256247.17708639192,273613.7342880848,394978.8508619008,1251794.5231200731,625897.2615600366,7078.95805140608
2054,30,0,330537.56236448465,259055.1581142006,276681.8496416229,399511.8185618179,1265786.388682126,632893.1943410633,6995.932781026699
2055,31,0,334077.7898930144,261829.77227787688,279713.75576198095,403991.6680388141,1279612.9859716864,639806.4929858432,6913.2986447799485
2056,32,0,337575.67080999486,264571.1977531873,282709.6341461903,408418.64730213425,1293275.1500115066,646637.5750057534,6831.082019910216
2057,33,0,341031.44447470474,267279.622135319,285669.67717881204,412793.02136116935,1306773.7651500052,653386.8825750025,6749.3075692490675
2058,34,0,344445.36146071757,269955.24180853803,288594.08741498797,417115.07112252683,1320109.7618067705,660054.8809033851,6667.998328382615
2059,35,0,347817.6827922803,272598.2613477108,291483.07689983293,421385.0923431916,1333284.1133830156,666642.0566915076,6587.175788122462
2060,36,0,351148.67921919323,275208.8929499982,294336.86652222835,425603.3946367495,1346297.8333281693,673148.9166640849,6506.859972577309
2061,37,0,354438.63052817085,277787.35589514277,297155.6854011978,429770.30052984186,1359151.9723543532,679575.9861771765,6427.069513091585
2062,38,0,357687.8248887858,280333.87603285915,299939.77030315343,433886.1445661934,1371847.6157909918,685923.8078954958,6347.821718319319
2063,39,0,360896.55823221215,282848.6852959317,302689.3650884083,437951.2724557155,1384385.8810722677,692192.940536134,6269.132640638156
2064,40,0,364065.1336610894,285332.0212377011,305404.720185445,441966.04026634264,1396767.9153505783,698383.9576752891,6191.017139155185
